Nome   ;sample name  ;Substance;tested date;published date ;location;
3616;Green Grenade;MDMA;May 15, 2015;May 15, 2015;Dublin, Ireland;
3617;White Lightening;Caffeine/MDA;May 15, 2015;May 15, 2015;Santa Rosa, CA;
3620;Purple Magnet;MDMA;May 20, 2015;May 20, 2015;Online, CA;
3621;Red UPS;MDMA;May 20, 2015;May 20, 2015;Online, CA;
3629;Bentley;MDMA;May 21, 2015;May 21, 2015;Online, CA;
3630;Yellow Magnet;MDMA;May 21, 2015;May 21, 2015;Online, CA;
3631;Yellow Lamborghini;MDMA;May 21, 2015;May 21, 2015;Online, CA;
3632;Fake Xanax;TFMPP;May 21, 2015;May 21, 2015;Houston, TX;
3633;Yellow Acetaminophen;Palmitic Acid/Stearic Acid;Jun 03, 2015;Jun 04, 2015;Alexandria, MN;
3634;Warner Brothers WB;MDMA;Jun 03, 2015;Jun 04, 2015;Chicago, IL;
3640;Blue Ghost;MDMA;Jun 03, 2015;Jun 04, 2015;Dublin, Ireland;
3641;UPS;MDMA;Jun 03, 2015;Jun 04, 2015;Dublin, Ireland;
3642;Domino;MDMA;Jun 03, 2015;Jun 04, 2015;Dublin, Ireland;
3652;Speed Tablet;5-MeO-DALT/Methylphenidate/Methiopropamine;Jun 16, 2015;Jun 16, 2015;Atlanta, GA;
3654;Bones Domino;MDMA;Jun 16, 2015;Jun 16, 2015;Boston, MA;
3656;Orange Tesla;MDMA;Jun 16, 2015;Jun 16, 2015;Santa Clara, CA;
3657;Tan Anchor;Caffeine/TFMPP;Jun 19, 2015;Jun 19, 2015;Fort Lauderdale, FL;
3665;Xanax;Alprazolam;Jun 19, 2015;Jun 19, 2015;Houston, TX;
3667;Red Heart Love;Caffeine/Ketamine;Jun 19, 2015;Jun 19, 2015;Rio de Janeiro, Brazil;
3673;Pink Spider;MDMA;Jun 28, 2015;Jun 28, 2015;Mobile, AL;
3674;Red Spider;MDMA;Jun 28, 2015;Jun 28, 2015;Mobile, AL;
3675;Red Rose;Mescaline;Jun 28, 2015;Jun 28, 2015;Roanoke, VA;
3676;Tan Superman Juice;Caffeine/MDA;Jun 28, 2015;Jun 28, 2015;Seattle, WA;
3678;Pink Dolphin;Caffeine/Methamphetamine;Jun 28, 2015;Jun 28, 2015;Baton Rouge, LA;
3682;Orange Tesla;MDMA;Jul 01, 2015;Jul 01, 2015;San Diego, CA;
3683;Purple Superman;Caffeine/Methamphetamine;Jul 01, 2015;Jul 01, 2015;Los Angeles, CA;
3684;Roche Valium;Diazepam;Jul 01, 2015;Jul 01, 2015;Online, CT;
3685;Blue Monkey;Caffeine/Benocyclidine;Jul 01, 2015;Jul 01, 2015;Tampa, FL;
3689;Lips;MDMA;Jul 17, 2015;Jul 17, 2015;Online, Unknown;
3699;Green Lantern;MDMA;Jul 20, 2015;Jul 20, 2015;Los Angeles, CA;
3700;Transformer Autobot;Caffeine/Methamphetamine;Jul 20, 2015;Jul 20, 2015;Atlanta, GA;
3706;3706  Dom Perignon Orange;MDMA;Jul 22, 2015;Jul 22, 2015;Monterey Park, CA;
3718;Blue Pill;Etizolam;Jul 26, 2015;Jul 26, 2015;Virginia Beach, VA;
3720;Oxandrolone Tablet;Oxandrolone;Jul 26, 2015;Jul 26, 2015;Tampa, FL;
3723;Halotestin ;None Detected;Aug 05, 2015;Aug 05, 2015;San Antonio, TX;
3726;Anavar;Stanozolol;Aug 05, 2015;Aug 05, 2015;Los Angeles, CA;
3727;Purple Vitamin;None Detected;Aug 05, 2015;Aug 05, 2015;Salt Lake City, UT;
3739;Chu Lee's Sleep Aid;Diazepam;Aug 09, 2015;Aug 09, 2015;Ecuador;
3744;AD 30 Tablet;DXM/Methamphetamine/Caffeine;Aug 09, 2015;Aug 09, 2015;Online, FL;
3746;Green Lightning;Caffeine/MDA/MMDPPA;Aug 19, 2015;Aug 19, 2015;Toronto, ON, Canada;
3749;Green Snapchat;MDMA;Aug 19, 2015;Aug 19, 2015;San Mateo, CA;
3752;White Tablet;Methandrostenolone;Aug 19, 2015;Aug 19, 2015;New York, NY;
3758;Sexy Lady;Caffeine/Methamphetamine;Aug 20, 2015;Aug 20, 2015;IA;
3761;Turquoise Domino;MDMA;Aug 20, 2015;Aug 20, 2015;Germany;
3765;White Heart;Mescaline;Aug 20, 2015;Aug 20, 2015;Los Angeles, CA;
3766;Anavar;Stanozolol;Aug 20, 2015;Aug 20, 2015;Phoenix, AZ;
3767;Modafinil;Modafinil;Aug 20, 2015;Aug 20, 2015;Online, MS;
3771;Green Shamrock;MDMA;Aug 21, 2015;Aug 21, 2015;Munich, Bayern, Germany;
3772;Blue Ghost;MDMA;Aug 21, 2015;Aug 21, 2015;Munich, Bayern, Germany;
3774;Yellow Grenade;25I-NBOMe;Aug 22, 2015;Aug 27, 2015;Hamburg, Germany;
3775;Blue Instagram;MDMA;Aug 20, 2015;Aug 27, 2015;Online, USA;
